date_time,sensor_letter,source_file,test,cultivar,plot,plot_type,bio_rep,treatment,pulse_num,temperature,rh
2024-07-22T16:05:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,28.52,93.23
2024-07-22T16:06:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,29.38,93.66
2024-07-22T16:07:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,29.03,91.75
2024-07-22T16:08:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,28.82,88.84
2024-07-22T16:09:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,28.89,85.9
2024-07-22T16:10:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,29.02,89.22
2024-07-22T16:11:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,29.32,90.24
2024-07-22T16:12:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,29.96,93.59
2024-07-22T16:13:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,30.7,94.89
2024-07-22T16:14:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,31.46,95.26
2024-07-22T16:15:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,31.53,93.69
2024-07-22T16:16:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,30.92,91.13
2024-07-22T16:17:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,30.66,77.58
2024-07-22T16:18:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,30.69,79.36
2024-07-22T16:19:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,30.85,83.88
2024-07-22T16:20:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,31.11,79.82
2024-07-22T16:21:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,31.44,86.87
2024-07-22T16:22:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,31.97,91.25
2024-07-22T16:23:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.39,93.52
2024-07-22T16:24:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.98,94.53
2024-07-22T16:25:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,33.2,94
2024-07-22T16:26:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.78,90.93
2024-07-22T16:27:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.66,81.55
2024-07-22T16:28:00Z,A,A_20240722,A1,MQ,OTC 1,OTC,1,A,1,32.64,74.78
